Price,Close,High,Low,Open,Volume,sma,ema,wma,rsi_5,mtm_5,cci_5,wr_5,atr_5,target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,
Date,,,,,,,,,,,,,,
2024-06-03,193.12681579589844,194.08235381042343,191.62385010600926,192.00207093054578,50080500,190.67826232910156,191.10460925276544,191.3444814046224,78.57953977980492,4.031158447265625,166.66666666666455,-16.29890844512677,2.8162798111830636,-1
2024-06-04,193.4453125,194.41079839334418,192.13144977133211,193.7339558758535,47471400,191.54620056152345,191.8848436685103,192.26683146158854,79.76311054845897,4.339691162109375,92.81741445092737,-16.69535541566427,2.708893573346515,1
2024-06-05,194.95823669433594,195.9834409155792,193.96289161058436,194.49042328995185,54156800,192.6570068359375,192.9093080104522,193.4041768391927,84.7623649660919,5.5540313720703125,109.10301388516373,-14.735360631939242,2.674740541792453,1
2024-06-06,193.57470703125,195.58530834672572,193.2661524862918,194.77908126144504,41181800,193.2920349121094,193.1311076840515,193.71007690429687,66.09740010053602,3.175140380859375,55.29219972275134,-34.62096791692852,2.6036236055197546,1
2024-06-07,195.97348022460938,196.02325051312178,193.2362814217838,193.74390191398706,53103900,194.21571044921876,194.0785651975708,194.60389200846353,77.05000517272292,4.618377685546875,85.93720951870873,-1.1312970838467384,2.640292702683813,1
2024-06-10,192.22103881835938,196.3815891899795,191.25555286655262,195.98344204153506,97262100,194.03455505371093,193.45938973783367,193.93900146484376,47.22034417948112,-0.9057769775390625,-84.5195940743576,-81.16505832402486,3.1374414268368818,1
2024-06-11,206.18572998046875,206.19569315156764,192.72867525564521,192.74857122232135,172373300,196.5826385498047,197.70150315204538,197.98939310709636,81.15655582886453,12.74041748046875,166.6666666666663,-0.06668726604182051,5.304884008126693,1
2024-06-12,212.0782012939453,219.1750019825869,205.9369082694312,206.40472171133436,198134300,200.00663146972656,202.49373586601203,203.15458068847656,85.92864770685813,17.119964599609375,140.98161920844942,-25.41884210948082,6.891525949141593,-1
2024-06-13,213.24273681640625,215.74104751612717,210.61502639534655,213.74040935969603,97862700,203.94023742675782,206.07673618281012,207.56661580403645,86.75715275252806,19.66802978515625,86.79453549066676,-21.247787309577415,6.538424983467779,-1
2024-06-14,211.50086975097656,214.16838712685717,210.31640674162668,212.8545395919822,70122700,207.04571533203125,207.88478070553228,210.08682657877605,78.15355068400808,15.527389526367188,50.61098190326002,-27.486689295753507,6.00113606381835,-1
2024-06-17,215.6614227294922,217.9308083607288,211.72981259041407,212.37678083551464,93728300,211.73379211425782,210.47699471351893,212.95872904459637,83.14431882796977,23.440383911132812,76.76548997855741,-13.285698574975735,6.08689657300538,-1
2024-06-18,213.29249572753906,217.612305023096,212.00850722554847,216.57713760943076,79943300,213.15514526367187,211.41549505152565,213.4782969156901,71.51638109447624,7.1067657470703125,57.70208295667395,-44.436203448249856,5.9902768179135855,-1
2024-06-20,208.70394897460938,213.24273529474334,207.87782592387282,212.93416556238657,86172500,212.48029479980468,210.51164635922026,211.99456481933595,53.42573370098583,-3.3742523193359375,-127.41376072043137,-91.78230882302306,5.875155415063901,1
2024-06-21,206.52415466308594,210.90366690915465,206.14591867526494,209.41064929966387,246421400,211.13657836914064,209.18248246050885,210.00918477376302,46.44867641718501,-6.7185821533203125,-112.84684921844563,-96.79050039570978,5.651673978828727,1
2024-06-24,207.17112731933594,211.70989851928564,205.6283393856244,206.75308420226276,80727000,210.2706298828125,208.51203074678455,208.68736775716147,48.92338641676856,-4.329742431640625,-66.72760192737653,-87.45952591440333,5.737651009795334,1
